,user_id,age,gender,current_role,years_of_experience,current_industry,previous_roles,key_skills,certifications,desired_role,preferred_industry,short_term_goal,long_term_goal,learning_style,time_available_per_week,motivation_level,recommended_skills,gender_encoded,learning_style_encoded,current_role_encoded,current_industry_encoded,previous_roles_encoded,desired_role_encoded,preferred_industry_encoded,short_term_encoded,long_term_encoded,key_skills_encoded,recommended_skills_encoded,certifications_encoded,certifications_imputed,recommended_skills_imputed,key_skills_imputed,long_term_imputed,short_term_imputed,desired_role_imputed,previous_roles_imputed,current_industry_imputed,current_role_imputed,preferred_industry_imputed
10,11,50,Female,Data Analyst,5.5,IT,"Marketing Specialist, Data Analyst, Entrepreneur","Python, Leadership, Data Analysis, Java",,Business Consultant,Education,Role Switch,Leadership,Collaborative,24,6,"Cloud Computing, Python, Leadership",0,0.0,543,611,8,576,577,961,992,2,8,,71.79954441913439,8.0,2.0,992.0,961.0,576.0,8.0,611.0,543.0,577.0
11,12,44,Male,Software Engineer,6.7,Marketing,"Content Writer, Data Analyst, Software Engineer","Data Analysis, Project Management, Python, Leadership",,Creative Director,Marketing,Role Switch,Expertise,Collaborative,15,10,Python,1,0.0,466,609,9,612,647,961,1002,3,179,,71.79954441913439,179.0,3.0,1002.0,961.0,612.0,9.0,609.0,466.0,647.0
12,13,46,Male,HR Manager,18.5,IT,Data Analyst,"Python, SEO",,Data Scientist,Healthcare,Promotion,Leadership,Collaborative,10,1,"Cloud Computing, Java, Leadership",1,0.0,475,611,162,615,583,1006,992,26,5,,71.79954441913439,5.0,26.0,992.0,1006.0,615.0,162.0,611.0,475.0,583.0
13,14,35,Female,Software Engineer,11.8,IT,Marketing Specialist,"Data Analysis, Cloud Computing, Leadership, Java","AWS Certified, Scrum Master, PMP",Creative Director,Healthcare,Role Switch,Leadership,Reading,25,3,"Leadership, Data Analysis, SEO",0,2.0,466,611,174,612,583,961,992,1,7,20.0,20.0,7.0,1.0,992.0,961.0,612.0,174.0,611.0,466.0,583.0
14,15,40,Female,Content Writer,5.7,Finance,"Content Writer, Entrepreneur","Leadership, Python, Project Management",PMP,Business Consultant,Healthcare,Role Switch,Expertise,Collaborative,12,5,"Project Management, Java",0,0.0,487,593,31,576,583,961,1002,3,26,115.0,115.0,26.0,3.0,1002.0,961.0,576.0,31.0,593.0,487.0,583.0
15,16,38,Female,Marketing Specialist,8.1,Healthcare,"Content Writer, Marketing Specialist","Java, Project Management, Python",,Data Scientist,Finance,Promotion,Entrepreneurship,Collaborative,10,10,"Python, Leadership, Project Management",0,0.0,539,610,34,615,571,1006,1006,10,4,,71.79954441913439,4.0,10.0,1006.0,1006.0,615.0,34.0,610.0,539.0,571.0
16,17,28,Male,Data Analyst,15.8,Education,Data Analyst,"Project Management, Data Analysis, SEO, Python","PMP, Google Analytics, AWS Certified",Business Consultant,IT,Promotion,Entrepreneurship,Reading,16,5,"Leadership, Data Analysis, Cloud Computing",1,2.0,543,577,162,576,622,1006,1006,5,10,33.0,33.0,10.0,5.0,1006.0,1006.0,576.0,162.0,577.0,543.0,622.0
17,18,40,Female,Software Engineer,7.0,Marketing,"Data Analyst, HR Manager, Entrepreneur","Cloud Computing, Project Management, Java, Leadership, Data Analysis",Scrum Master,Team Lead,Education,Role Switch,Leadership,Hands-on,15,9,"Data Analysis, Cloud Computing, Java",0,1.0,466,609,9,557,577,961,992,1,6,157.0,157.0,6.0,1.0,992.0,961.0,557.0,9.0,609.0,466.0,577.0
18,19,24,Male,Content Writer,2.1,Healthcare,Data Analyst,"Cloud Computing, Data Analysis, Python",,Team Lead,Healthcare,Role Switch,Expertise,Hands-on,11,9,"Java, Project Management, Python",1,1.0,487,610,162,557,583,961,1002,6,2,,71.79954441913439,2.0,6.0,1002.0,961.0,557.0,162.0,610.0,487.0,583.0
19,20,42,Male,Content Writer,12.8,Marketing,"Data Analyst, Entrepreneur, Marketing Specialist","Leadership, Data Analysis, Java, SEO","AWS Certified, PMP",Business Consultant,Education,Role Switch,Entrepreneurship,Collaborative,24,1,"Cloud Computing, Java, SEO",1,0.0,487,609,12,576,577,961,1006,1,4,61.0,61.0,4.0,1.0,1006.0,961.0,576.0,12.0,609.0,487.0,577.0
20,21,29,Male,HR Manager,13.7,Finance,Entrepreneur,"Cloud Computing, Data Analysis, Python, Project Management","Google Analytics, PMP",Creative Director,Education,Role Switch,Expertise,Reading,21,8,"Data Analysis, Java, Project Management",1,2.0,475,593,193,612,577,961,1002,1,7,44.0,44.0,7.0,1.0,1002.0,961.0,612.0,193.0,593.0,475.0,577.0
21,22,45,Female,Content Writer,6.1,IT,"HR Manager, Data Analyst, Marketing Specialist","SEO, Cloud Computing",,Creative Director,IT,Promotion,Entrepreneurship,Hands-on,20,2,SEO,0,1.0,487,611,10,612,622,1006,1006,13,147,,71.79954441913439,147.0,13.0,1006.0,1006.0,612.0,10.0,611.0,487.0,622.0
22,23,35,Male,Marketing Specialist,7.7,Healthcare,"Data Analyst, Marketing Specialist, HR Manager","Cloud Computing, Data Analysis, Project Management",PMP,Business Consultant,IT,Role Switch,Entrepreneurship,Reading,18,7,Leadership,1,2.0,539,610,5,576,622,961,1006,7,156,115.0,115.0,156.0,7.0,1006.0,961.0,576.0,5.0,610.0,539.0,622.0
23,24,50,Male,HR Manager,13.6,Marketing,Content Writer,"Python, Cloud Computing, Project Management",,Creative Director,Finance,Promotion,Entrepreneurship,Hands-on,19,6,"Project Management, Leadership, Data Analysis",1,1.0,475,609,178,612,571,1006,1006,5,6,,71.79954441913439,6.0,5.0,1006.0,1006.0,612.0,178.0,609.0,475.0,571.0
24,25,42,Female,Entrepreneur,6.9,IT,"Software Engineer, HR Manager, Content Writer","Cloud Computing, Java",Scrum Master,Data Scientist,Marketing,Promotion,Entrepreneurship,Reading,19,7,Python,0,2.0,490,611,11,615,647,1006,1006,14,179,157.0,157.0,179.0,14.0,1006.0,1006.0,615.0,11.0,611.0,490.0,647.0
25,26,40,Male,Data Analyst,8.8,Healthcare,"HR Manager, Data Analyst, Entrepreneur","SEO, Cloud Computing, Project Management, Leadership, Java","AWS Certified, Google Analytics, PMP",Business Consultant,Education,Role Switch,Expertise,Collaborative,18,6,Java,1,0.0,543,610,12,576,577,961,1002,1,127,28.0,28.0,127.0,1.0,1002.0,961.0,576.0,12.0,610.0,543.0,577.0
26,27,32,Male,Entrepreneur,2.6,IT,"Marketing Specialist, HR Manager, Data Analyst","Java, Cloud Computing, Leadership, Data Analysis","Google Analytics, AWS Certified, Scrum Master",Creative Director,Healthcare,Role Switch,Expertise,Hands-on,11,1,"SEO, Cloud Computing",1,1.0,490,611,10,612,583,961,1002,4,22,21.0,21.0,22.0,4.0,1002.0,961.0,612.0,10.0,611.0,490.0,583.0
27,28,36,Female,Software Engineer,9.1,IT,"Content Writer, Entrepreneur","Project Management, Data Analysis, Cloud Computing, SEO, Java",,Data Scientist,Finance,Upskilling,Entrepreneurship,Collaborative,12,8,"Cloud Computing, SEO",0,0.0,466,611,31,615,571,1033,1006,1,33,,71.79954441913439,33.0,1.0,1006.0,1033.0,615.0,31.0,611.0,466.0,571.0
28,29,27,Female,Software Engineer,9.8,Education,"Content Writer, Data Analyst","Data Analysis, Python, Cloud Computing, SEO",,Project Manager,Marketing,Upskilling,Entrepreneurship,Reading,18,7,"Leadership, SEO",0,2.0,466,577,50,640,647,1033,1006,3,22,,71.79954441913439,22.0,3.0,1006.0,1033.0,640.0,50.0,577.0,466.0,647.0
29,30,24,Male,Entrepreneur,13.5,IT,HR Manager,"Leadership, SEO, Data Analysis, Python, Cloud Computing","Google Analytics, AWS Certified, Scrum Master",Creative Director,Healthcare,Upskilling,Expertise,Reading,27,6,"Project Management, Data Analysis",1,2.0,490,611,202,612,583,1033,1002,3,35,21.0,21.0,35.0,3.0,1002.0,1033.0,612.0,202.0,611.0,490.0,583.0
30,31,32,Male,Data Analyst,18.8,Healthcare,"Software Engineer, Marketing Specialist, Entrepreneur","Python, Cloud Computing, SEO",,Project Manager,Education,Upskilling,Leadership,Reading,17,9,"Data Analysis, Project Management",1,2.0,543,610,11,640,577,1033,992,11,29,,71.79954441913439,29.0,11.0,992.0,1033.0,640.0,11.0,610.0,543.0,577.0
31,32,28,Male,Software Engineer,3.5,Education,HR Manager,"SEO, Python, Leadership","PMP, Scrum Master",Project Manager,Healthcare,Promotion,Expertise,Hands-on,28,8,"Python, SEO",1,1.0,466,577,202,640,583,1006,1002,5,21,50.0,50.0,21.0,5.0,1002.0,1006.0,640.0,202.0,577.0,466.0,583.0
32,33,23,Female,HR Manager,15.3,Finance,"Content Writer, Marketing Specialist, Entrepreneur","SEO, Project Management, Python, Data Analysis, Cloud Computing",,Team Lead,Healthcare,Promotion,Expertise,Hands-on,6,4,"Data Analysis, SEO, Leadership",0,1.0,475,593,12,557,583,1006,1002,2,18,,71.79954441913439,18.0,2.0,1002.0,1006.0,557.0,12.0,593.0,475.0,583.0
33,34,43,Female,Software Engineer,12.1,Finance,"HR Manager, Marketing Specialist, Software Engineer","Python, Leadership, Cloud Computing",,Creative Director,Healthcare,Upskilling,Expertise,Hands-on,11,5,"Project Management, Cloud Computing",0,1.0,466,593,8,612,583,1033,1002,5,24,,71.79954441913439,24.0,5.0,1002.0,1033.0,612.0,8.0,593.0,466.0,583.0
34,35,40,Female,HR Manager,14.6,Education,"Software Engineer, Entrepreneur","Python, Java, Cloud Computing","AWS Certified, PMP",Team Lead,IT,Promotion,Expertise,Reading,6,4,"Data Analysis, Project Management",0,2.0,475,577,19,557,622,1006,1002,8,29,61.0,61.0,29.0,8.0,1002.0,1006.0,557.0,19.0,577.0,475.0,622.0
35,36,55,Female,Content Writer,17.6,IT,"Content Writer, Marketing Specialist","Python, Leadership, Project Management, SEO, Cloud Computing","Scrum Master, Google Analytics",Creative Director,Healthcare,Role Switch,Expertise,Reading,12,6,"Cloud Computing, Project Management, Java",0,2.0,487,611,34,612,583,961,1002,1,7,46.0,46.0,7.0,1.0,1002.0,961.0,612.0,34.0,611.0,487.0,583.0
36,37,43,Female,Content Writer,2.4,Healthcare,HR Manager,"SEO, Data Analysis",PMP,Data Scientist,Healthcare,Promotion,Entrepreneurship,Reading,28,10,"SEO, Cloud Computing, Data Analysis",0,2.0,487,610,202,615,583,1006,1006,13,2,115.0,115.0,2.0,13.0,1006.0,1006.0,615.0,202.0,610.0,487.0,583.0
37,38,45,Female,HR Manager,9.8,IT,Software Engineer,"Leadership, Java, Cloud Computing",,Data Scientist,Healthcare,Upskilling,Entrepreneurship,Hands-on,15,1,"Java, Python",0,1.0,475,611,152,615,583,1033,1006,2,22,,71.79954441913439,22.0,2.0,1006.0,1033.0,615.0,152.0,611.0,475.0,583.0
38,39,55,Female,Marketing Specialist,17.7,Education,"Data Analyst, Entrepreneur, HR Manager","Leadership, Python, Java",,Data Scientist,Healthcare,Promotion,Leadership,Collaborative,5,4,"Project Management, Java",0,0.0,539,577,10,615,583,1006,992,3,26,,71.79954441913439,26.0,3.0,992.0,1006.0,615.0,10.0,577.0,539.0,583.0
39,40,53,Female,Data Analyst,1.9,IT,Content Writer,"SEO, Leadership",,Data Scientist,Healthcare,Promotion,Expertise,Collaborative,23,8,Cloud Computing,0,0.0,543,611,178,615,583,1006,1002,21,111,,71.79954441913439,111.0,21.0,1002.0,1006.0,615.0,178.0,611.0,543.0,583.0
40,41,24,Female,Entrepreneur,19.3,Marketing,Content Writer,"Java, Project Management, Leadership","PMP, Scrum Master",Project Manager,Marketing,Upskilling,Leadership,Hands-on,20,6,"Leadership, Data Analysis",0,1.0,490,609,178,640,647,1033,992,4,29,50.0,50.0,29.0,4.0,992.0,1033.0,640.0,178.0,609.0,490.0,647.0
41,42,37,Male,Content Writer,18.5,IT,"HR Manager, Data Analyst","Cloud Computing, SEO",,Data Scientist,Healthcare,Promotion,Expertise,Collaborative,9,6,"SEO, Python",1,0.0,487,611,48,615,583,1006,1002,19,33,,71.79954441913439,33.0,19.0,1002.0,1006.0,615.0,48.0,611.0,487.0,583.0
42,43,53,Female,Data Analyst,17.0,Marketing,Content Writer,"Python, Cloud Computing, Data Analysis, Project Management","AWS Certified, PMP, Scrum Master",Data Scientist,Healthcare,Upskilling,Entrepreneurship,Hands-on,9,10,"Cloud Computing, Data Analysis, Project Management",0,1.0,543,609,178,615,583,1033,1006,7,7,33.0,33.0,7.0,7.0,1006.0,1033.0,615.0,178.0,609.0,543.0,583.0
43,44,44,Male,Marketing Specialist,11.1,Marketing,Marketing Specialist,"Data Analysis, Cloud Computing, Python",AWS Certified,Creative Director,Education,Role Switch,Expertise,Hands-on,13,10,"Project Management, SEO",1,1.0,539,609,174,612,577,961,1002,6,29,155.0,155.0,29.0,6.0,1002.0,961.0,612.0,174.0,609.0,539.0,577.0
44,45,32,Male,Marketing Specialist,10.3,Marketing,Entrepreneur,"SEO, Data Analysis, Python",,Creative Director,Healthcare,Promotion,Leadership,Reading,18,4,Python,1,2.0,539,609,193,612,583,1006,992,4,179,,71.79954441913439,179.0,4.0,992.0,1006.0,612.0,193.0,609.0,539.0,583.0
45,46,51,Female,Content Writer,4.6,Marketing,"HR Manager, Software Engineer, Data Analyst","Project Management, Java",PMP,Data Scientist,Healthcare,Role Switch,Leadership,Reading,24,7,Python,0,2.0,487,609,13,615,583,961,992,12,179,115.0,115.0,179.0,12.0,992.0,961.0,615.0,13.0,609.0,487.0,583.0
46,47,42,Female,Content Writer,12.4,Healthcare,"Marketing Specialist, Entrepreneur","Python, Project Management, Leadership",,Project Manager,Education,Promotion,Expertise,Collaborative,22,4,SEO,0,0.0,487,610,37,640,577,1006,1002,3,147,,71.79954441913439,147.0,3.0,1002.0,1006.0,640.0,37.0,610.0,487.0,577.0
47,48,25,Male,Entrepreneur,12.3,Finance,"Content Writer, Entrepreneur, Software Engineer","Cloud Computing, Leadership, Project Management, Python, Data Analysis",,Business Consultant,Healthcare,Promotion,Entrepreneurship,Hands-on,11,10,"Project Management, Python, SEO",1,1.0,490,593,12,576,583,1006,1006,3,7,,71.79954441913439,7.0,3.0,1006.0,1006.0,576.0,12.0,593.0,490.0,583.0
48,49,44,Female,Marketing Specialist,14.5,Finance,HR Manager,"SEO, Leadership, Cloud Computing","AWS Certified, Google Analytics",Business Consultant,Marketing,Role Switch,Leadership,Hands-on,7,1,"Data Analysis, Cloud Computing, Project Management",0,1.0,539,593,202,576,647,961,992,6,8,60.0,60.0,8.0,6.0,992.0,961.0,576.0,202.0,593.0,539.0,647.0
49,50,34,Male,Data Analyst,17.1,Marketing,"HR Manager, Entrepreneur, Marketing Specialist","Cloud Computing, SEO, Python, Project Management","PMP, Google Analytics",Creative Director,Finance,Upskilling,Entrepreneurship,Reading,24,3,Cloud Computing,1,2.0,543,609,10,612,571,1033,1006,2,111,41.0,41.0,111.0,2.0,1006.0,1033.0,612.0,10.0,609.0,543.0,571.0
50,51,24,Female,Software Engineer,8.8,Finance,"HR Manager, Content Writer, Software Engineer","Python, Cloud Computing, Leadership",Scrum Master,Business Consultant,Healthcare,Role Switch,Entrepreneurship,Reading,19,2,"Leadership, Data Analysis",0,2.0,466,593,12,576,583,961,1006,7,29,157.0,157.0,29.0,7.0,1006.0,961.0,576.0,12.0,593.0,466.0,583.0
51,52,26,Male,Data Analyst,5.7,Healthcare,HR Manager,"Java, Leadership, SEO",AWS Certified,Project Manager,Education,Promotion,Leadership,Reading,28,7,"SEO, Cloud Computing",1,2.0,543,610,202,640,577,1006,992,5,22,155.0,155.0,22.0,5.0,992.0,1006.0,640.0,202.0,610.0,543.0,577.0
52,53,52,Male,Entrepreneur,16.9,Marketing,HR Manager,"SEO, Data Analysis","AWS Certified, Google Analytics, PMP",Business Consultant,Marketing,Upskilling,Leadership,Hands-on,18,9,Data Analysis,1,1.0,490,609,202,576,647,1033,992,13,148,28.0,28.0,148.0,13.0,992.0,1033.0,576.0,202.0,609.0,490.0,647.0
53,54,33,Female,Software Engineer,4.2,Healthcare,Software Engineer,"Data Analysis, SEO, Python",AWS Certified,Team Lead,Finance,Role Switch,Leadership,Reading,19,1,"Java, Project Management",0,2.0,466,610,152,557,571,961,992,3,27,155.0,155.0,27.0,3.0,992.0,961.0,557.0,152.0,610.0,466.0,571.0
54,55,38,Female,Data Analyst,5.7,Marketing,"Content Writer, HR Manager, Data Analyst","Java, Cloud Computing, SEO, Data Analysis, Project Management","Scrum Master, Google Analytics, AWS Certified",Data Scientist,Finance,Upskilling,Expertise,Reading,15,1,"Python, SEO, Project Management",0,2.0,543,609,8,615,571,1033,1002,1,12,31.0,31.0,12.0,1.0,1002.0,1033.0,615.0,8.0,609.0,543.0,571.0
55,56,45,Male,HR Manager,16.8,IT,"HR Manager, Marketing Specialist","Project Management, Python, Java",AWS Certified,Creative Director,Marketing,Role Switch,Leadership,Hands-on,29,4,"Project Management, Python",1,1.0,475,611,21,612,647,961,992,6,18,155.0,155.0,18.0,6.0,992.0,961.0,612.0,21.0,611.0,475.0,647.0
56,57,39,Female,Entrepreneur,3.4,Finance,Content Writer,"SEO, Python, Cloud Computing, Leadership, Java",,Business Consultant,Finance,Promotion,Expertise,Collaborative,5,6,Data Analysis,0,0.0,490,593,178,576,571,1006,1002,3,148,,71.79954441913439,148.0,3.0,1002.0,1006.0,576.0,178.0,593.0,490.0,571.0
57,58,23,Female,Software Engineer,15.5,Marketing,"Data Analyst, Software Engineer, Marketing Specialist","Cloud Computing, SEO, Leadership, Python, Data Analysis","Google Analytics, Scrum Master, AWS Certified",Business Consultant,IT,Promotion,Expertise,Collaborative,26,6,"Cloud Computing, Project Management, Java",0,0.0,466,609,10,576,622,1006,1002,5,7,28.0,28.0,7.0,5.0,1002.0,1006.0,576.0,10.0,609.0,466.0,622.0
58,59,44,Female,Marketing Specialist,15.7,Education,"Marketing Specialist, Entrepreneur","Data Analysis, Project Management, Java, Leadership",,Data Scientist,IT,Role Switch,Leadership,Hands-on,29,9,Leadership,0,1.0,539,577,37,615,622,961,992,3,156,,71.79954441913439,156.0,3.0,992.0,961.0,615.0,37.0,577.0,539.0,622.0
59,60,40,Male,Data Analyst,2.1,Healthcare,"HR Manager, Content Writer","Python, SEO, Leadership, Cloud Computing",,Project Manager,Healthcare,Promotion,Entrepreneurship,Collaborative,27,6,Leadership,1,0.0,543,610,37,640,583,1006,1006,3,156,,71.79954441913439,156.0,3.0,1006.0,1006.0,640.0,37.0,610.0,543.0,583.0
60,61,48,Male,Software Engineer,5.7,IT,"Software Engineer, Entrepreneur, Content Writer","Leadership, Data Analysis, Cloud Computing",Google Analytics,Team Lead,Education,Role Switch,Entrepreneurship,Collaborative,11,10,Java,1,0.0,466,611,13,557,577,961,1006,5,127,132.0,132.0,127.0,5.0,1006.0,961.0,557.0,13.0,611.0,466.0,577.0
61,62,39,Female,Marketing Specialist,11.0,Marketing,"Marketing Specialist, Entrepreneur, Content Writer","SEO, Leadership, Cloud Computing",,Creative Director,Marketing,Promotion,Entrepreneurship,Reading,21,3,"Data Analysis, Project Management",0,2.0,539,609,6,612,647,1006,1006,6,29,,71.79954441913439,29.0,6.0,1006.0,1006.0,612.0,6.0,609.0,539.0,647.0
62,63,29,Female,Software Engineer,11.6,Marketing,"Data Analyst, Software Engineer, Content Writer","Leadership, Project Management, SEO, Data Analysis","AWS Certified, PMP, Google Analytics",Team Lead,Education,Upskilling,Leadership,Reading,10,5,"Java, Project Management, SEO",0,2.0,466,609,13,557,577,1033,992,1,6,28.0,28.0,6.0,1.0,992.0,1033.0,557.0,13.0,609.0,466.0,577.0
63,64,39,Male,Marketing Specialist,12.7,Marketing,"Software Engineer, Marketing Specialist","Leadership, Data Analysis","Scrum Master, PMP, AWS Certified",Data Scientist,IT,Role Switch,Leadership,Reading,14,10,"Java, Cloud Computing, SEO",1,2.0,539,609,25,615,622,961,992,29,6,7.0,7.0,6.0,29.0,992.0,961.0,615.0,25.0,609.0,539.0,622.0
64,65,55,Male,Marketing Specialist,4.7,Healthcare,Software Engineer,"SEO, Data Analysis, Project Management, Python, Cloud Computing","Google Analytics, Scrum Master, AWS Certified",Project Manager,Marketing,Upskilling,Entrepreneurship,Collaborative,18,10,"Cloud Computing, Java, Data Analysis",1,0.0,539,610,152,640,647,1033,1006,2,9,28.0,28.0,9.0,2.0,1006.0,1033.0,640.0,152.0,610.0,539.0,647.0
65,66,47,Female,Marketing Specialist,8.0,IT,"HR Manager, Marketing Specialist, Content Writer","Cloud Computing, SEO, Project Management, Java",,Business Consultant,Marketing,Promotion,Entrepreneurship,Hands-on,23,3,"SEO, Project Management, Data Analysis",0,1.0,539,611,8,576,647,1006,1006,2,3,,71.79954441913439,3.0,2.0,1006.0,1006.0,576.0,8.0,611.0,539.0,647.0
66,67,35,Female,HR Manager,1.6,Finance,"Content Writer, Marketing Specialist","Java, Cloud Computing",Scrum Master,Business Consultant,Healthcare,Upskilling,Entrepreneurship,Reading,11,8,"SEO, Java, Cloud Computing",0,2.0,475,593,34,576,583,1033,1006,12,2,157.0,157.0,2.0,12.0,1006.0,1033.0,576.0,34.0,593.0,475.0,583.0
67,68,39,Female,Data Analyst,12.6,IT,"Entrepreneur, Content Writer, HR Manager","Data Analysis, Project Management, SEO, Python, Java","Google Analytics, AWS Certified",Project Manager,Healthcare,Role Switch,Entrepreneurship,Reading,11,8,Leadership,0,2.0,543,611,8,640,583,961,1006,3,156,59.0,59.0,156.0,3.0,1006.0,961.0,640.0,8.0,611.0,543.0,583.0
68,69,38,Male,Data Analyst,4.5,Finance,"Marketing Specialist, Data Analyst","Project Management, Python, Data Analysis, Java, SEO","Scrum Master, AWS Certified",Team Lead,Education,Upskilling,Entrepreneurship,Collaborative,17,4,Python,1,0.0,543,593,35,557,577,1033,1006,1,179,55.0,55.0,179.0,1.0,1006.0,1033.0,557.0,35.0,593.0,543.0,577.0
69,70,47,Female,Data Analyst,2.8,Finance,"Content Writer, Software Engineer","Data Analysis, Project Management, Leadership, Python, SEO","Google Analytics, AWS Certified, PMP",Creative Director,IT,Promotion,Leadership,Hands-on,10,7,"Project Management, Java, Leadership",0,1.0,543,593,33,612,622,1006,992,1,5,25.0,25.0,5.0,1.0,992.0,1006.0,612.0,33.0,593.0,543.0,622.0
70,71,43,Male,Data Analyst,17.1,Healthcare,Software Engineer,"Cloud Computing, Data Analysis","Scrum Master, PMP",Project Manager,Marketing,Upskilling,Entrepreneurship,Collaborative,12,5,"Cloud Computing, Python, Data Analysis",1,0.0,543,610,152,640,647,1033,1006,21,5,56.0,56.0,5.0,21.0,1006.0,1033.0,640.0,152.0,610.0,543.0,647.0
71,72,53,Female,HR Manager,18.2,Marketing,"Entrepreneur, Data Analyst","Cloud Computing, Leadership, SEO, Java, Project Management","Google Analytics, AWS Certified",Project Manager,IT,Role Switch,Entrepreneurship,Hands-on,21,7,"Leadership, Cloud Computing, Python",0,1.0,475,609,38,640,622,961,1006,3,9,59.0,59.0,9.0,3.0,1006.0,961.0,640.0,38.0,609.0,475.0,622.0
72,73,32,Male,Software Engineer,13.4,Finance,"Software Engineer, Marketing Specialist","Leadership, Java","Scrum Master, PMP",Team Lead,IT,Upskilling,Entrepreneurship,Collaborative,13,7,"SEO, Cloud Computing",1,0.0,466,593,25,557,622,1033,1006,14,22,56.0,56.0,22.0,14.0,1006.0,1033.0,557.0,25.0,593.0,466.0,622.0
